,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
PER2,PER2,-0.21545922233333,8.11179581683333,-2.64061795997439,0.0194914431501074,0.0515453713007559,-4.51042962450824
MBLAC2,MBLAC2,-0.0459828719999988,6.83889995666667,-0.525274254467245,0.60768205518764,0.73761764951314,-7.38221410490888
SACM1L,SACM1L,-0.0815674863333342,6.94991634516667,-0.955396244332358,0.355722208791325,0.512117866137946,-7.05576962521926
RLN2,RLN2,0.174580816666667,7.513205917,2.26590314670068,0.0399901573790621,0.0939180801888392,-5.19434485506498
RNU6ATAC,RNU6ATAC,0.140937134666668,6.781607304,1.69521236509178,0.11234115210727,0.217560783080506,-6.13259754918176
MPZL1,MPZL1,0.149119303666667,7.34556971016667,2.00356700294042,0.0650388137122904,0.140448975942856,-5.64433539032782
FOXD4L4,FOXD4L4,-0.0980848376666676,6.62750471316667,-1.02495584800201,0.322916334664387,0.478895362532299,-6.98701705309487
DDX19-DDX19L,DDX19-DDX19L,-0.0574637073333326,6.94579341,-0.575094716025085,0.574431978725834,0.710571586042358,-7.35354049224437
SNORD65,SNORD65,0.139822103666667,6.75628205116667,1.8800114031105,0.0812602946825667,0.168155332110377,-5.84583545428137
TMEM45A,TMEM45A,-0.179879058666666,6.63435789266667,-2.04527492765287,0.0602693581036394,0.132029322799001,-5.57470945145528
GNG13,GNG13,0.00707368333333225,6.62652012733333,0.0922079505741478,0.927850456909881,0.955800886175165,-7.52369693759513
IL1RN,IL1RN,0.0364952876666678,6.84051488916667,0.433371452232958,0.67140416207675,0.785814113254059,-7.42852936673811
TLK1,TLK1,-0.210144185666667,7.2812382295,-2.39630123658414,0.0312248738567272,0.0765262749983219,-4.96111279371167
RAD18,RAD18,0.00799195833333322,6.66594300483333,0.0942664861108169,0.926244774428692,0.954986214965987,-7.5234918892779
MAP2K6,MAP2K6,-0.102629670000002,6.72224067033333,-1.20430727856524,0.248606118417297,0.396662138445023,-6.79101096579552
ALKBH8,ALKBH8,0.0755401523333319,6.7552687655,1.01416982595273,0.327855233700583,0.483937448233102,-6.99795154155431
NPAT,NPAT,0.0448451743333331,6.8008948905,0.576559847320263,0.573468770769324,0.709856878805389,-7.35265971156802
SLC46A1,SLC46A1,0.114777953000001,6.9040413515,1.18006856974507,0.25780290454058,0.407703023225853,-6.81902440537167
CCNT2,CCNT2,-0.166022562999999,8.0820980485,-2.09303842405698,0.0552038093144224,0.122620177408948,-5.49403770466502
ZBTB44,ZBTB44,0.0341025760000013,7.061772426,0.435827856256623,0.669663351041548,0.784702774189023,-7.4274035086401
FAM187B,FAM187B,0.028001030333332,6.62927986783333,0.32626758427566,0.749089262781436,0.838667718261248,-7.47155947826121
TWF1,TWF1,-0.0495621096666676,7.4086145905,-0.542730562846849,0.595923251860984,0.728419698776126,-7.37245034013736
POLR2A,POLR2A,0.054779376333336,10.1041255585,0.679509584707962,0.50798949399839,0.654834572205503,-7.28546918669469
DCAF10,DCAF10,-0.0581227526666668,7.33998399566667,-0.696471854643167,0.497631980861933,0.645160045984719,-7.27340659967148
DVL1,DVL1,0.0549127420000017,6.781275094,0.733825037446678,0.475269282858477,0.626745014318487,-7.24586844045949
ACTR8,ACTR8,0.0318450236666665,7.26459589883333,0.334765254770174,0.742807345164408,0.834533533233947,-7.46858055553219
TMEM161B,TMEM161B,0.0774508020000004,6.75380717533333,0.759286649750519,0.460382603545792,0.613261939286874,-7.22633505795792
RAET1E,RAET1E,0.143509185666667,6.8667874235,1.61085446324189,0.129710861560443,0.243410833658986,-6.25706727085299
FLJ90650,FLJ90650,-0.157661661333332,6.60107577866667,-1.61210433018584,0.129437448745864,0.243039264379797,-6.25525445283728
SNX17,SNX17,-0.203269336666665,10.2995596083333,-2.25011314182937,0.0411968914067227,0.0962505117824336,-5.22219074670187
MIR639,MIR639,0.0520176953333333,6.666675444,0.614870621167103,0.548588487616519,0.688848035682494,-7.32887300654781
MIR1470,MIR1470,-0.180019874333333,6.59006599216667,-1.89827152615069,0.0786525057756739,0.164002617519904,-5.81652289061909
SNORA4,SNORA4,0.200445034666667,6.77152858,2.29180131751198,0.0380826785807406,0.0902669410301357,-5.14848105024367
PTPN3,PTPN3,0.0242332963333354,7.92925741783333,0.231293993327287,0.820461261209491,0.88870665262248,-7.49970084879217
CDK3,CDK3,-0.080717674333334,6.84592642716667,-0.95035499564751,0.358187794303759,0.514914553574992,-7.06058861131629
OSGIN2,OSGIN2,-0.232423716333331,8.31375822516667,-2.77309594167664,0.015048145900481,0.0414797299441953,-4.25993374228337
LRRC47,LRRC47,0.0520902746666696,8.661647056,0.589933992461201,0.564715852667668,0.701987925233013,-7.34452105577214
FAM101A,FAM101A,0.0412554376666669,6.6214572495,0.431998415519538,0.672378064509936,0.786466481573236,-7.42915598038078
ATXN10,ATXN10,0.116767153333332,6.98331991833333,1.53886683034101,0.146318520515255,0.267907735617478,-6.35982982428298
KIR3DP1,KIR3DP1,0.190259362000001,6.766964846,2.15669510706804,0.0490639854018376,0.111381035358424,-5.38503718381465
ARL3,ARL3,0.115270508666668,6.66938298133333,1.52836173037466,0.148887392232568,0.271147939067986,-6.37454977770781
SPACA4,SPACA4,-0.0768518799999987,6.570837784,-0.780754337801048,0.448058814323693,0.601107954069871,-7.20938989067749
T-SP1,T-SP1,-0.00202169333333124,6.775938472,-0.0212462580639851,0.983351623991681,0.989955422184972,-7.52799878891108
ANKRD30B,ANKRD30B,-0.0591277229999996,10.0127546318333,-0.644198451944392,0.529949182397557,0.673078918900285,-7.30968576066274
SDK1,SDK1,-0.188498417666665,6.6975750705,-2.34183956756833,0.0346378865661605,0.0836249540895617,-5.05921170755196
COMMD1,COMMD1,-0.192634891666669,10.0329510141667,-2.14846347466124,0.0498205739328005,0.112701673827279,-5.39922494033455
CCDC28B,CCDC28B,0.0260094350000006,6.61077025216667,0.31297988674492,0.758949251745244,0.84639911362454,-7.47606634586484
RLN1,RLN1,0.134657180999999,6.69165489216667,1.38143311758582,0.188980011578694,0.324454695601614,-6.5726885419247
LRRC24,LRRC24,0.0143108706666659,6.52298810766667,0.190599102472873,0.851599334290642,0.908241116617716,-7.50884801617427
CD2BP2,CD2BP2,-0.150227979999999,10.9857340166667,-1.87033968044482,0.082672875682099,0.170285782600035,-5.86129325162857
DCLRE1A,DCLRE1A,0.0640370840000042,7.65320835633333,0.818509973801728,0.426895856053429,0.581769701505371,-7.17854189704114
ZNF266,ZNF266,-0.201570021333332,7.63218448033333,-2.47634167683908,0.0267844846916651,0.0670959345642188,-4.81527886059664
SLC25A14,SLC25A14,-0.164894214666667,8.44753153833333,-1.89550171011129,0.0790431503888201,0.164491411592037,-5.82097994125389
CCDC69,CCDC69,0.0528706630000029,6.7268259165,0.637061227113731,0.534452154179817,0.676965727224032,-7.31443283323399
PLXND1,PLXND1,-0.0814275160000024,7.152778627,-0.930312144818698,0.36810830120656,0.524414670957214,-7.07952600560955
Septin 5,Septin 5,0.0466557483333352,6.8366188285,0.613963074082987,0.549170975157588,0.689109617649564,-7.3294532708565
DOCK9,DOCK9,-0.154387699666664,6.77659790483333,-1.91261736240605,0.0766569932390419,0.16061465250085,-5.7933774280758
TRPV1,TRPV1,-0.140835921333334,6.82055053966667,-1.63013689706001,0.125547753697244,0.237549638481141,-6.2289933231355
IGF2BP2,IGF2BP2,-0.121547903000001,6.88691014916667,-1.45702079828558,0.16736046796683,0.296293758998678,-6.47259098291403
ETNK2,ETNK2,-0.0789529006666667,7.127086315,-0.828316169626405,0.421506666536301,0.576313919290062,-7.17031329244403
HSF1,HSF1,0.0795758453333342,7.06226779666667,0.903043316858258,0.381907964607981,0.537997658358383,-7.10471771275801
BCAM,BCAM,-0.221656988333333,6.81112210616667,-2.74377829384254,0.0159373482680013,0.0435674923390739,-4.3156870002293
DYRK3,DYRK3,0.122834236333334,6.69811073416667,1.41581507045489,0.178876752803192,0.311994468474705,-6.52765124837602
PRR19,PRR19,0.138569915000002,6.83448733016667,1.50811584539448,0.153946106233626,0.277962174489205,-6.40271588060452
MGC29506,MGC29506,0.0713433623333337,6.9356684955,0.717597871767846,0.484908294056286,0.63439667791643,-7.25799577910252
SSX1,SSX1,-0.232751640666666,6.78800124966667,-3.01655429218748,0.00931797905771294,0.02771744024274,-3.7911152908722
ECM1,ECM1,-0.219069295666667,6.6856050375,-2.6420696756401,0.0194364640594262,0.0514316286235883,-4.50770558744065
MLF1,MLF1,0.0592162033333317,6.83560018233333,0.601529258007484,0.55718532745239,0.695677378457704,-7.33732134130883
ZKSCAN5,ZKSCAN5,0.101004360333334,6.65990839416667,1.1499352788752,0.269598937917335,0.42068137347256,-6.85319965826364
FCRLB,FCRLB,0.0179874736666692,6.99728449383333,0.218582160071086,0.830156812704326,0.893592274257255,-7.50274640349568
TMEM53,TMEM53,-0.132156285666666,6.8067333135,-1.67340319770906,0.116625435262831,0.224122289658661,-6.16518283850429
MFHAS1,MFHAS1,-0.0112018873333328,6.969856506,-0.136056100276559,0.893730529656816,0.935149256418771,-7.51835232217996
GALNT3,GALNT3,-0.163295298333331,6.86008282183333,-1.86223108046667,0.0838741392500093,0.172154975833644,-5.87421615295535
MIR760,MIR760,-0.121553369333334,6.75089852366667,-1.25133937386262,0.231490966930582,0.37710153470673,-6.73534573231617
BEND6,BEND6,-0.125841990666665,6.70248770533333,-1.36166576148507,0.194997342167235,0.332074955075352,-6.59820225761737
GPR155,GPR155,-0.106966620333332,6.75470821516667,-1.22668085873928,0.240345093708509,0.387316118511263,-6.76474421219266
HOXC4,HOXC4,-0.123319681666667,6.65296928783333,-1.50560845303678,0.154582600037796,0.27868534186649,-6.40618544893455
SUPT3H,SUPT3H,-0.0388525309999981,6.8440775145,-0.414576738036745,0.684787924832272,0.794911392665014,-7.43693846445843
AQP7P1,AQP7P1,-0.038833088333333,6.7107212565,-0.491507857261094,0.630748452121391,0.753904046425828,-7.4002284999979
CCDC153,CCDC153,0.0622988353333342,6.66938687533333,0.777581622613717,0.449866947552587,0.602752513806689,-7.21192150417433
RSF1,RSF1,-0.0382962546666672,7.12549057833333,-0.367954702698177,0.718457598292805,0.817434944593667,-7.45622482426987
