logFC,AveExpr,t,P.Value,adj.P.Val,B,id
1.199133574,5.865583489,4.10506217801423,0.000351820911758266,0.0117619094478771,-0.254793321700695,ENC1
1.16402710166667,11.9290226141667,17.1538648490126,9.396424384166e-16,9.35161066787228e-13,25.7258738594644,CTGF
1.13611990075,6.74781123929167,8.30672406299537,8.26240599983584e-09,1.78165014709794e-06,10.2773970605711,PLK3
1.0310816695,7.16923643608333,6.16951416690301,1.5502381405755e-06,0.000185712787618202,5.08634385070245,ANGPTL4
1.024098362,7.33472934741667,6.03025570675631,2.21999322580443e-06,0.000249758890047458,4.7304868162892,PER1
0.997337106,4.30875491158333,4.61613353916995,9.13611288345481e-05,0.00474710957775656,1.06251711657491,THBD
0.966350915916668,5.31798451429167,8.76020455376431,2.93321221401829e-09,7.52239035272545e-07,11.3022550146753,EIF4A1
0.940919364083332,10.0372154277917,8.53175390336426,4.92539998633073e-09,1.13794330398477e-06,10.7895180120451,F3
-0.903402506166671,9.23649335958333,-4.1906927366542,0.000280958341894143,0.0100415442746586,-0.0358024036440696,RGS2
0.898046155999999,8.9641951515,7.42049885768058,6.76132241222813e-08,1.28644102013835e-05,8.19360554027569,ATG101
0.897015930999999,7.50583643733333,5.60211860254587,6.76534676668639e-06,0.000632093753457344,3.62739940976605,ZFP36L1
0.895137070833334,7.09619049808333,6.23769099196205,1.30118440380742e-06,0.00016668043382634,5.25994897518433,IRF1
0.892776011083332,3.709050965875,3.78300766061464,0.000814781648761619,0.0201947221679652,-1.06914281234119,EREG
